datetime,SOL/USD,BTC/USD
2025-02-18 05:15:00,168.9,95698.84
2025-02-18 05:30:00,169.02,95844.34
2025-02-18 05:45:00,167.89,95721.5
2025-02-18 06:00:00,168.63,95615.04
2025-02-18 06:15:00,168.54,95712.37
2025-02-18 06:30:00,168.14,95590.78
2025-02-18 06:45:00,168.65,95605.56
2025-02-18 07:00:00,169.21,95779.82
2025-02-18 07:15:00,169.26,95911.5
2025-02-18 07:30:00,171.02,96121.53
2025-02-18 07:45:00,170.66,96164.41
2025-02-18 08:00:00,169.66,96333.12
2025-02-18 08:15:00,169.04,96219.25
2025-02-18 08:30:00,169.31,96266.1
2025-02-18 08:45:00,169.65,96206.5
2025-02-18 09:00:00,169.18,96265.48
2025-02-18 09:15:00,169.73,96490.41
2025-02-18 09:30:00,166.97,95910.15
2025-02-18 09:45:00,166.92,95495.92
2025-02-18 10:00:00,166.54,95538.87
2025-02-18 10:15:00,165.44,95360.58
2025-02-18 10:30:00,165.87,95491.15
2025-02-18 10:45:00,165.9,95523.15
2025-02-18 11:00:00,166.15,95369.6
2025-02-18 11:15:00,165.81,95230.72
2025-02-18 11:30:00,163.8,94626.7
2025-02-18 11:45:00,162.35,94604.5
2025-02-18 12:00:00,163.71,94723.86
2025-02-18 12:15:00,161.68,94487.0
2025-02-18 12:30:00,161.72,94207.22
2025-02-18 12:45:00,163.44,94051.53
2025-02-18 13:00:00,164.71,93991.14
2025-02-18 13:15:00,165.01,93998.46
2025-02-18 13:30:00,164.3,93681.53
2025-02-18 13:45:00,163.86,93865.22
2025-02-18 14:00:00,164.57,93451.27
2025-02-18 14:15:00,164.03,93604.2
2025-02-18 14:30:00,164.15,93949.64
2025-02-18 14:45:00,165.17,94039.83
2025-02-18 15:00:00,166.33,94398.39
2025-02-18 15:15:00,165.98,94173.99
2025-02-18 15:30:00,164.38,93790.0
2025-02-18 15:45:00,164.49,94161.31
2025-02-18 16:00:00,166.06,95095.73
2025-02-18 16:15:00,167.9,95110.5
2025-02-18 16:30:00,167.56,94861.78
2025-02-18 16:45:00,167.48,94996.31
2025-02-18 17:00:00,167.74,94960.3
2025-02-18 17:15:00,169.39,95351.03
2025-02-18 17:30:00,168.32,95219.57
2025-02-18 17:45:00,167.69,95250.5
2025-02-18 18:00:00,168.77,95382.62
2025-02-18 18:15:00,169.15,95523.78
2025-02-18 18:30:00,168.86,95335.39
2025-02-18 18:45:00,169.2,95607.4
2025-02-18 19:00:00,169.41,95522.01
2025-02-18 19:15:00,169.97,95421.41
2025-02-18 19:30:00,169.05,95465.61
2025-02-18 19:45:00,168.63,95298.0
2025-02-18 20:00:00,167.71,95172.16
2025-02-18 20:15:00,168.16,95152.41
2025-02-18 20:30:00,168.21,95281.1
2025-02-18 20:45:00,168.37,95424.73
2025-02-18 21:00:00,169.16,95559.34
2025-02-18 21:15:00,168.6,95496.98
2025-02-18 21:30:00,169.07,95665.25
2025-02-18 21:45:00,169.23,95779.14
2025-02-18 22:00:00,167.78,95619.13
2025-02-18 22:15:00,167.74,95658.79
2025-02-18 22:30:00,167.04,95679.56
2025-02-18 22:45:00,167.4,95669.63
2025-02-18 23:00:00,167.04,95598.93
2025-02-18 23:15:00,165.72,95499.17
2025-02-18 23:30:00,165.0,95344.79
2025-02-18 23:45:00,163.88,95196.15
